image_ap,image_auroc,image_f1,log_path,model_name,pixel_ap,pixel_aupro,pixel_auroc,pixel_f1,test_dataset
0.949,0.848,0.889,main/Crane-main/results/zs_fixedprompts_bottle_lse_mapmax/test_on_mvtec/4fcc47e2/epoch_0/log.txt,zs_fixedprompts_bottle_lse_mapmax,0.587,0.833,0.919,0.565,mvtec
0.964,0.873,0.903,main/Crane-main/results/zs_fixedprompts_bottle_bayes8_sigma001/test_on_mvtec/85d9e780/epoch_0/log.txt,zs_fixedprompts_bottle_bayes8_sigma001,0.592,0.841,0.922,0.569,mvtec
0.844,0.811,0.806,main/Crane-main/results/zs_fixedprompts_visa_reduce_mean_mapmax_bayes8_sigma001/test_on_visa/f9b7689c/epoch_0/log.txt,zs_fixedprompts_visa_reduce_mean_mapmax_bayes8_sigma001,0.178,0.809,0.847,0.262,visa
0.948,0.877,0.909,main/Crane-main/results/baseline_clip_fixedprompts_mvtec/test_on_mvtec/0d4ee9eb/epoch_0/log.txt,baseline_clip_fixedprompts_mvtec,0.326,0.818,0.882,0.393,mvtec
0.964,0.872,0.903,main/Crane-main/results/vis_mvtec_bottle_zs_dino/test_on_mvtec/27776923/epoch_0/log.txt,vis_mvtec_bottle_zs_dino,0.593,0.841,0.922,0.569,mvtec
0.873,0.721,0.863,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxclip_nctx4_bottle_e5/test_on_mvtec/096cb24a/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxclip_nctx4_bottle_e5,0.181,0.559,0.712,0.237,mvtec
0.671,0.345,0.834,main/Crane-main/results/trained_on_visa_baseline/test_on_mvtec/4e53e325/epoch_1/log.txt,trained_on_visa_baseline,,0.364,0.738,0.12,mvtec
0.954,0.858,0.889,main/Crane-main/results/zs_fixedprompts_bottle_mapmax_v2/test_on_mvtec/b2ae8da4/epoch_0/log.txt,zs_fixedprompts_bottle_mapmax_v2,0.575,0.826,0.911,0.557,mvtec
0.743,0.49,0.869,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4/test_on_mvtec/0e1050e4/epoch_5/log.txt,trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4,,0.621,0.729,0.296,mvtec
0.639,0.274,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4/test_on_mvtec/0e1050e4/epoch_1/log.txt,trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4,,0.331,0.673,0.178,mvtec
0.608,0.16,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4/test_on_mvtec/63e87b9a/epoch_0/log.txt,trained_on_mvtec_bayes_dino_full_bottle_patch_ce_lr1e4,,0.144,0.586,0.138,mvtec
0.933,0.842,0.902,main/Crane-main/results/zs_fixedprompts_mvtec_all_reduce_mean_bayes8/test_on_mvtec/8046ae7b/epoch_0/log.txt,zs_fixedprompts_mvtec_all_reduce_mean_bayes8,0.391,0.847,0.878,0.45,mvtec
0.941,0.811,0.863,main/Crane-main/results/zs_fixedprompts_bottle_max_mapmax/test_on_mvtec/fecf34ec/epoch_0/log.txt,zs_fixedprompts_bottle_max_mapmax,0.348,0.662,0.832,0.387,mvtec
0.603,0.182,0.863,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_bottle_e5_v2/test_on_mvtec/1a7a9e89/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_bottle_e5_v2,0.067,0.161,0.584,0.137,mvtec
0.516,0.386,0.72,main/Crane-main/results/trained_on_mvtec_bayes_dino/test_on_visa/93d2063f/epoch_1/log.txt,trained_on_mvtec_bayes_dino,,0.52,0.848,0.115,visa
0.496,0.365,0.722,main/Crane-main/results/trained_on_mvtec_baseline/test_on_visa/4e53e325/epoch_1/log.txt,trained_on_mvtec_baseline,,0.234,0.613,0.022,visa
0.976,0.922,0.917,main/Crane-main/results/zs_fixedprompts_bottle_mapmax/test_on_mvtec/b2ae8da4/epoch_0/log.txt,zs_fixedprompts_bottle_mapmax,0.621,0.803,0.9,0.592,mvtec
0.954,0.858,0.889,main/Crane-main/results/zs_fixedprompts_bottle_mean_mapmax/test_on_mvtec/15ef6d64/epoch_0/log.txt,zs_fixedprompts_bottle_mean_mapmax,0.592,0.839,0.922,0.569,mvtec
0.744,0.524,0.839,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_patchce_lr1e4_e10/test_on_mvtec/f0335ec3/epoch_10/log.txt,trained_on_mvtec_bayes_dino_full_patchce_lr1e4_e10,,0.328,0.672,0.224,mvtec
0.69,0.409,0.835,main/Crane-main/results/trained_on_mvtec_bayes_dino_full_patchce_lr1e4_e10/test_on_mvtec/e09b860c/epoch_10/log.txt,trained_on_mvtec_bayes_dino_full_patchce_lr1e4_e10,,0.453,0.703,0.158,mvtec
0.844,0.811,0.806,main/Crane-main/results/zs_fixedprompts_visa_all_reduce_mean_mapmax/test_on_visa/ac295be2/epoch_0/log.txt,zs_fixedprompts_visa_all_reduce_mean_mapmax,0.178,0.809,0.847,0.262,visa
0.942,0.865,0.905,main/Crane-main/results/zs_fixedprompts_mvtec_all_reduce_mean_bayes8_sigma001/test_on_mvtec/2174cb24/epoch_0/log.txt,zs_fixedprompts_mvtec_all_reduce_mean_bayes8_sigma001,0.409,0.878,0.911,0.461,mvtec
0.976,0.94,0.937,main/Crane-main/results/trained_on_visa_cranep/test_on_mvtec/magnesium-massachusetts/epoch_5/log.txt,trained_on_visa_cranep,,0.881,0.912,0.437,mvtec
0.906,0.89,0.856,main/Crane-main/results/trained_on_visa_cranep/test_on_visa/magnesium-massachusetts/epoch_5/log.txt,trained_on_visa_cranep,,0.907,0.96,0.319,visa
0.942,0.865,0.904,main/Crane-main/results/zs_fixedprompts_mvtec_all_reduce_mean_rerun6/test_on_mvtec/9f02763d/epoch_0/log.txt,zs_fixedprompts_mvtec_all_reduce_mean_rerun6,0.408,0.877,0.911,0.461,mvtec
0.722,0.592,0.763,main/Crane-main/results/vis_mvtec_cable_zs_dino/test_on_mvtec/16daf1a3/epoch_0/log.txt,vis_mvtec_cable_zs_dino,0.165,0.642,0.767,0.25,mvtec
0.846,0.814,0.808,main/Crane-main/results/zs_fixedprompts_visa_reduce_mean_mapmax_sigma0/test_on_visa/70401fb8/epoch_0/log.txt,zs_fixedprompts_visa_reduce_mean_mapmax_sigma0,0.166,0.808,0.843,0.252,visa
0.815,0.535,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full/test_on_mvtec/0e1050e4/epoch_50/log.txt,trained_on_mvtec_bayes_dino_full,,0.129,0.356,0.109,mvtec
0.786,0.465,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full/test_on_mvtec/0bf7455f/epoch_50/log.txt,trained_on_mvtec_bayes_dino_full,,0.249,0.644,0.188,mvtec
0.608,0.16,0.863,main/Crane-main/results/trained_on_mvtec_bayes_dino_full/test_on_mvtec/63e87b9a/epoch_0/log.txt,trained_on_mvtec_bayes_dino_full,,0.144,0.586,0.138,mvtec
0.74,0.471,0.835,main/Crane-main/results/trained_on_mvtec_bayes_dino_full/test_on_mvtec/3fac130e/epoch_50/log.txt,trained_on_mvtec_bayes_dino_full,,0.477,0.701,0.256,mvtec
0.729,0.466,0.84,main/Crane-main/results/trained_on_mvtec_bayes_dino_full/test_on_mvtec/c34ca098/epoch_50/log.txt,trained_on_mvtec_bayes_dino_full,,0.177,0.418,0.091,mvtec
0.966,0.877,0.903,main/Crane-main/results/zs_fixedprompts_bottle_cls_v2/test_on_mvtec/c38657d5/epoch_0/log.txt,zs_fixedprompts_bottle_cls_v2,0.575,0.826,0.911,0.557,mvtec
0.97,0.895,0.896,main/Crane-main/results/zs_fixedprompts_bottle/test_on_mvtec/c38657d5/epoch_0/log.txt,zs_fixedprompts_bottle,0.621,0.803,0.9,0.592,mvtec
0.773,0.425,0.863,main/Crane-main/results/trained_on_mvtec_synth_cutpaste_ctxzeros_bottle_e5/test_on_mvtec/0a43bd51/epoch_5/log.txt,trained_on_mvtec_synth_cutpaste_ctxzeros_bottle_e5,0.096,0.349,0.529,0.143,mvtec
