objects,pixel_auroc,pixel_ap,pixel_aupro,pixel_f1,image_auroc,image_ap,image_f1
bottle,0.9280412197113037,0.602033257484436,0.8553129779821023,0.5615854277972315,0.8547619047619048,0.9579224471148386,0.8666666666666667
cable,0.8614344000816345,0.4372027516365051,0.7919861146182704,0.5056266676210132,0.8497001499250375,0.9149966749850718,0.8315789473684211
capsule,0.9345702528953552,0.4032464027404785,0.917641205469703,0.45380282826885276,0.7076186677303551,0.9299102914651726,0.9121338912133891
carpet,0.9942349195480347,0.7249774932861328,0.9798892025846861,0.6903824023307802,0.9618780096308186,0.989700566715047,0.9540229885057471
grid,0.9911302924156189,0.33100634813308716,0.9595122643805298,0.44982746662416156,0.9482038429406852,0.9812040162647337,0.9421487603305785
hazelnut,0.9751826524734497,0.4880768656730652,0.9208672196095787,0.5190594242222359,0.9642857142857143,0.9806121735206064,0.935251798561151
leather,0.9887805581092834,0.2493654489517212,0.9677235323925223,0.35920937582511475,1.0,1.0000000000000002,1.0
metal_nut,0.7971616387367249,0.3558329939842224,0.8007670528537905,0.3912179020098297,0.8797653958944281,0.9675835780251001,0.9270833333333334
pill,0.7559810876846313,0.2564615309238434,0.864590786271966,0.2772311363077035,0.7935079105291871,0.9557654197096624,0.9185667752442997
screw,0.9747012853622437,0.32825517654418945,0.9182688326797938,0.4017493335235429,0.7886862061897931,0.9155445744273724,0.8686131386861314
tile,0.9110165238380432,0.47304391860961914,0.8684358971339255,0.6251618813476615,0.9996392496392497,0.9998599439775908,0.9940828402366864
toothbrush,0.9133089780807495,0.2385542094707489,0.9057499773419202,0.3206430398246255,0.5277777777777777,0.7923769518227797,0.8333333333333333
transistor,0.720456063747406,0.14979371428489685,0.5721091727197307,0.17818871468922104,0.8183333333333334,0.7788575389756216,0.7126436781609196
wood,0.9542531371116638,0.5261425971984863,0.9452787086700637,0.6144471451413572,0.9824561403508771,0.9947777758267032,0.9586776859504132
zipper,0.9637897610664368,0.5622317790985107,0.8917819402244141,0.5645320912607564,0.898109243697479,0.9734347036379364,0.9090909090909091
mean,0.9109361847241719,0.4084149658679962,0.877327658995533,0.46084432245293916,0.8649815697791094,0.9421697770978824,0.9042596497787986
