objects,pixel_auroc,pixel_ap,pixel_aupro,pixel_f1,image_auroc,image_ap,image_f1
bottle,0.9287018775939941,0.6044507622718811,0.8570804713100794,0.5639714052984884,0.8547619047619047,0.9579863400468087,0.8709677419354839
cable,0.8627965450286865,0.4351963996887207,0.7914361935849763,0.503049440590037,0.8480134932533733,0.9137516616347289,0.8315789473684211
capsule,0.9340975284576416,0.4036611318588257,0.917426002696334,0.45421049821113896,0.7088153171120862,0.9301332548104425,0.9121338912133891
carpet,0.9942357540130615,0.7248267531394958,0.9799056144628064,0.6902969612359732,0.9618780096308186,0.989700566715047,0.9540229885057471
grid,0.9911368489265442,0.33110442757606506,0.9594936633172504,0.44962375572334956,0.9456975772765247,0.980290042718287,0.9421487603305785
hazelnut,0.9753292798995972,0.48809850215911865,0.9211183267731937,0.5191603561621037,0.9642857142857143,0.9807238740750186,0.9343065693430657
leather,0.9887721538543701,0.248927503824234,0.9677369587214781,0.3589689083512472,1.0,1.0000000000000002,1.0
metal_nut,0.7938634753227234,0.35373789072036743,0.800389255651429,0.38789372854656645,0.8797653958944281,0.9675019426113733,0.9278350515463919
pill,0.7580462694168091,0.25703632831573486,0.865517115705098,0.27700727086206517,0.7945990180032734,0.9560647204247565,0.9185667752442997
screw,0.9746236205101013,0.3283982574939728,0.9182135928506663,0.4015561030076387,0.7868415658946506,0.9149426933533497,0.8686131386861314
tile,0.9102160930633545,0.4723529815673828,0.8677259283396627,0.6248028762643665,0.9996392496392497,0.9998599439775908,0.9940828402366864
toothbrush,0.9120160341262817,0.23863396048545837,0.9059931528188019,0.3205291436061333,0.5194444444444444,0.7857002951461229,0.8333333333333333
transistor,0.7217512130737305,0.1505061537027359,0.5728685658994747,0.17954505597962025,0.8216666666666668,0.7818173393782354,0.7126436781609196
wood,0.9539918899536133,0.5258285403251648,0.9454528370048175,0.6143859339159679,0.9833333333333334,0.9950216581018355,0.9593495934959351
zipper,0.9656271934509277,0.5669594407081604,0.8955174750121608,0.5665019145161576,0.8991596638655461,0.973778441824226,0.9082969432314411
mean,0.9110137184460958,0.4086479355891546,0.8777250102765486,0.46076689015139033,0.8645267569374676,0.941818184987855,0.9045253501754549
