objects,pixel_auroc,pixel_ap,pixel_aupro,pixel_f1,image_auroc,image_ap,image_f1
candle,0.9684609770774841,0.2965768575668335,0.949355948910871,0.41860465116279066,0.8697999999999999,0.9087736181842094,0.8253968253968254
capsules,0.7371014356613159,0.1593080461025238,0.7416113526804724,0.2434701203849844,0.9279999999999999,0.9644021887351852,0.9072164948453608
cashew,0.5549278855323792,0.13865214586257935,0.8920631178821777,0.2560169757201238,0.9088000000000002,0.9592445363991542,0.8955223880597015
chewinggum,0.962769091129303,0.56981360912323,0.8020881986524542,0.6462692951157841,0.9750000000000001,0.9898944823769055,0.964102564102564
fryum,0.6498682498931885,0.15917839109897614,0.7588082665739986,0.29279345670986057,0.9504,0.9781455572483659,0.9090909090909091
macaroni1,0.9519691467285156,0.14349572360515594,0.8207101415985448,0.25379814663052386,0.6437999999999999,0.6972555722002945,0.6788321167883212
macaroni2,0.952892541885376,0.008296176791191101,0.7255467611433096,0.03375807717857358,0.6188999999999999,0.6101692546160153,0.6829268292682927
pcb1,0.8594016432762146,0.06104988977313042,0.6547932581928108,0.12807608353391364,0.6828000000000001,0.7634221856248327,0.6666666666666666
pcb2,0.9083738923072815,0.09192757308483124,0.74061972865506,0.15759052846937294,0.6736,0.7057191541279076,0.6896551724137931
pcb3,0.8401026725769043,0.028683459386229515,0.7939812059205493,0.0740798763064956,0.6043564356435643,0.6283314242910991,0.6711409395973155
pcb4,0.9556081891059875,0.35278040170669556,0.8962736075299601,0.39453077801553615,0.9533663366336633,0.9564395863939996,0.8855721393034827
pipe_fryum,0.8206321597099304,0.12483073770999908,0.9305749308482308,0.2404720351019819,0.9177999999999998,0.963431076376503,0.8934010152284264
mean,0.8468423237403234,0.1778827509842813,0.8088688765490367,0.26162166869416176,0.810551897689769,0.8437690530478728,0.8057936717301383
