objects,pixel_auroc,pixel_ap,pixel_aupro,pixel_f1,image_auroc,image_ap,image_f1
candle,0.9690572023391724,0.2978084087371826,0.9493732821412408,0.4192190703415083,0.8688000000000001,0.9081794761582223,0.8241758241758242
capsules,0.7449039220809937,0.16096049547195435,0.7457298468214445,0.24479857314567094,0.928,0.9642228351704263,0.9072164948453608
cashew,0.5510019063949585,0.13766098022460938,0.891017541663786,0.25617761027714725,0.9092,0.9593386170602275,0.8955223880597015
chewinggum,0.9626253247261047,0.5704516172409058,0.8016888938888538,0.6468693271031744,0.9748,0.9898354483876389,0.964102564102564
fryum,0.6420207619667053,0.15563321113586426,0.7541334833993559,0.28963015343020865,0.9516,0.9786560967150784,0.911764705882353
macaroni1,0.9523123502731323,0.14355087280273438,0.8212376342244664,0.25353443118486096,0.6444,0.697616331450068,0.6788321167883212
macaroni2,0.9530913233757019,0.008319400250911713,0.7262234134132379,0.03382702505028341,0.6192000000000001,0.6102534794594854,0.6851211072664359
pcb1,0.8599291443824768,0.06234113499522209,0.6589286075685538,0.13076007170240883,0.6900000000000001,0.7707423633351023,0.6666666666666666
pcb2,0.9088943600654602,0.0929584950208664,0.7418719810792933,0.1584898428516673,0.6753,0.707112453644277,0.6877192982456142
pcb3,0.8390315175056458,0.028870686888694763,0.794279114611608,0.07487004553916267,0.604059405940594,0.6279500126917198,0.6711409395973155
pcb4,0.9553998708724976,0.3524842858314514,0.8965104730179337,0.39450012917233157,0.9527722772277227,0.9560011041972393,0.8855721393034827
pipe_fryum,0.8253003358840942,0.1262085884809494,0.9312491394230155,0.24199807346441907,0.9158000000000001,0.9627157173207013,0.8932038834951457
mean,0.8469640016555786,0.17810401475677887,0.809353617604399,0.262056196105237,0.8111609735973598,0.844385327965849,0.8059198440357321
